"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"spatstat.core","packages/x86_64-pc-linux-gnu/4.1/","2.3-0",NA,NA,NA,NA
"spatstat.data","packages/x86_64-pc-linux-gnu/4.1/","2.1-0",NA,NA,NA,NA
"spatstat.geom","packages/x86_64-pc-linux-gnu/4.1/","2.3-0",NA,NA,NA,NA
"spatstat.linnet","packages/x86_64-pc-linux-gnu/4.1/","2.3-0",NA,NA,NA,NA
"spatstat.sparse","packages/x86_64-pc-linux-gnu/4.1/","2.0-0",NA,NA,NA,NA
"spatstat.utils","packages/x86_64-pc-linux-gnu/4.1/","2.2-0",NA,NA,NA,NA
"spData","packages/x86_64-pc-linux-gnu/4.1/","2.0.1",NA,NA,NA,NA
"spdep","packages/x86_64-pc-linux-gnu/4.1/","1.1-11",NA,NA,NA,NA
"spelling","packages/x86_64-pc-linux-gnu/4.1/","2.2",NA,NA,NA,NA
"SQUAREM","packages/x86_64-pc-linux-gnu/4.1/","2021.1",NA,NA,NA,NA
"stringfish","packages/x86_64-pc-linux-gnu/4.1/","0.15.5",NA,NA,NA,NA
"stringi","packages/x86_64-pc-linux-gnu/4.1/","1.7.6",NA,NA,NA,NA
"stringr","packages/x86_64-pc-linux-gnu/4.1/","1.4.0",NA,NA,NA,NA
"SuppDists","packages/x86_64-pc-linux-gnu/4.1/","1.1-9.5",NA,NA,NA,NA
"sys","packages/x86_64-pc-linux-gnu/4.1/","3.4",NA,NA,NA,NA
"systemfonts","packages/x86_64-pc-linux-gnu/4.1/","1.0.3",NA,NA,NA,NA
"tensor","packages/x86_64-pc-linux-gnu/4.1/","1.5",NA,NA,NA,NA
"terra","packages/x86_64-pc-linux-gnu/4.1/","1.5-21",NA,NA,NA,NA
"testthat","packages/x86_64-pc-linux-gnu/4.1/","3.1.2",NA,NA,NA,NA
"TH.data","packages/x86_64-pc-linux-gnu/4.1/","1.1-0",NA,NA,NA,NA
"tibble","packages/x86_64-pc-linux-gnu/4.1/","3.1.6",NA,NA,NA,NA
"tidyr","packages/x86_64-pc-linux-gnu/4.1/","1.1.4",NA,NA,NA,NA
"tidyselect","packages/x86_64-pc-linux-gnu/4.1/","1.1.1",NA,NA,NA,NA
"tiler","packages/x86_64-pc-linux-gnu/4.1/","0.2.5",NA,NA,NA,NA
"timeDate","packages/x86_64-pc-linux-gnu/4.1/","3043.102",NA,NA,NA,NA
"tinytex","packages/x86_64-pc-linux-gnu/4.1/","0.36",NA,NA,NA,NA
"trust","packages/x86_64-pc-linux-gnu/4.1/","0.1-8",NA,NA,NA,NA
"tzdb","packages/x86_64-pc-linux-gnu/4.1/","0.2.0",NA,NA,NA,NA
"units","packages/x86_64-pc-linux-gnu/4.1/","0.8-0",NA,NA,NA,NA
"usethis","packages/x86_64-pc-linux-gnu/4.1/","2.1.3",NA,NA,NA,NA
"utf8","packages/x86_64-pc-linux-gnu/4.1/","1.2.2",NA,NA,NA,NA
"uuid","packages/x86_64-pc-linux-gnu/4.1/","1.0-3",NA,NA,NA,NA
"vctrs","packages/x86_64-pc-linux-gnu/4.1/","0.3.8",NA,NA,NA,NA
"viridis","packages/x86_64-pc-linux-gnu/4.1/","0.6.2",NA,NA,NA,NA
"viridisLite","packages/x86_64-pc-linux-gnu/4.1/","0.4.0",NA,NA,NA,NA
"visualTest","packages/x86_64-pc-linux-gnu/4.1/","1.0.0","visualTest","MangoTheCat","HEAD","9b835a707479a9162ca50f108308a5d814bbc923"
"vroom","packages/x86_64-pc-linux-gnu/4.1/","1.5.5",NA,NA,NA,NA
"waldo","packages/x86_64-pc-linux-gnu/4.1/","0.3.1",NA,NA,NA,NA
"whisker","packages/x86_64-pc-linux-gnu/4.1/","0.4",NA,NA,NA,NA
"whoami","packages/x86_64-pc-linux-gnu/4.1/","1.3.0",NA,NA,NA,NA
"withr","packages/x86_64-pc-linux-gnu/4.1/","2.5.0",NA,NA,NA,NA
"wk","packages/x86_64-pc-linux-gnu/4.1/","0.6.0",NA,NA,NA,NA
"xfun","packages/x86_64-pc-linux-gnu/4.1/","0.29",NA,NA,NA,NA
"XML","packages/x86_64-pc-linux-gnu/4.1/","3.99-0.8",NA,NA,NA,NA
"xml2","packages/x86_64-pc-linux-gnu/4.1/","1.3.2",NA,NA,NA,NA
"xmlparsedata","packages/x86_64-pc-linux-gnu/4.1/","1.0.5",NA,NA,NA,NA
"xopen","packages/x86_64-pc-linux-gnu/4.1/","1.0.0",NA,NA,NA,NA
"xtable","packages/x86_64-pc-linux-gnu/4.1/","1.8-4",NA,NA,NA,NA
"yaImpute","packages/x86_64-pc-linux-gnu/4.1/","1.0-32",NA,NA,NA,NA
"yaml","packages/x86_64-pc-linux-gnu/4.1/","2.2.2",NA,NA,NA,NA
"zip","packages/x86_64-pc-linux-gnu/4.1/","2.2.0",NA,NA,NA,NA
"zoo","packages/x86_64-pc-linux-gnu/4.1/","1.8-9",NA,NA,NA,NA
