"","V1","GCM","SSP","studyArea","gmcsDriver","Replicates","simulateAM","AMscenario","complete","documented"
"59",59,"CanESM5",370,"SB","LandR.CS",2,FALSE,FALSE,NA,NA
"60",60,"CanESM5",370,"WB","LandR",2,FALSE,FALSE,TRUE,TRUE
"61",61,"CanESM5",370,"WB","LandR.CS",2,FALSE,FALSE,TRUE,TRUE
"62",62,"CanESM5",370,"WCB","LandR",2,FALSE,FALSE,NA,NA
"63",63,"CanESM5",370,"WCB","LandR.CS",2,FALSE,FALSE,NA,NA
"64",64,"CNRM-ESM2-1",245,"SB","LandR",2,FALSE,FALSE,NA,NA
"65",65,"CNRM-ESM2-1",245,"SB","LandR.CS",2,FALSE,FALSE,NA,NA
"66",66,"CNRM-ESM2-1",245,"WB","LandR",2,FALSE,FALSE,NA,NA
"67",67,"CNRM-ESM2-1",245,"WB","LandR.CS",2,FALSE,FALSE,NA,NA
"68",68,"CNRM-ESM2-1",245,"WCB","LandR",2,FALSE,FALSE,NA,NA
"69",69,"CNRM-ESM2-1",245,"WCB","LandR.CS",2,FALSE,FALSE,NA,NA
"70",70,"CNRM-ESM2-1",370,"SB","LandR",2,FALSE,FALSE,NA,NA
"71",71,"CNRM-ESM2-1",370,"SB","LandR.CS",2,FALSE,FALSE,NA,NA
"72",72,"CNRM-ESM2-1",370,"WB","LandR",2,FALSE,FALSE,NA,NA
"73",73,"CNRM-ESM2-1",370,"WB","LandR.CS",2,FALSE,FALSE,NA,NA
"74",74,"CNRM-ESM2-1",370,"WCB","LandR",2,FALSE,FALSE,NA,NA
"75",75,"CNRM-ESM2-1",370,"WCB","LandR.CS",2,FALSE,FALSE,NA,NA
"76",76,"historical",NA,"SB","LandR",2,FALSE,FALSE,NA,NA
"77",77,"historical",NA,"WB","LandR",2,FALSE,FALSE,NA,NA
"78",78,"historical",NA,"WCB","LandR",2,FALSE,FALSE,NA,NA
"79",79,"ACCESS-ESMI1-5",245,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"80",80,"ACCESS-ESMI1-5",245,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"81",81,"ACCESS-ESMI1-5",245,"WB","LandR",3,FALSE,FALSE,TRUE,TRUE
"82",82,"ACCESS-ESMI1-5",245,"WB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"83",83,"ACCESS-ESMI1-5",245,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"84",84,"ACCESS-ESMI1-5",245,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"85",85,"ACCESS-ESMI1-5",370,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"86",86,"ACCESS-ESMI1-5",370,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"87",87,"ACCESS-ESMI1-5",370,"WB","LandR",3,FALSE,FALSE,TRUE,TRUE
"88",88,"ACCESS-ESMI1-5",370,"WB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"89",89,"ACCESS-ESMI1-5",370,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"90",90,"ACCESS-ESMI1-5",370,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"91",91,"CanESM5",245,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"92",92,"CanESM5",245,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"93",93,"CanESM5",245,"WB","LandR",3,FALSE,FALSE,TRUE,TRUE
"94",94,"CanESM5",245,"WB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"95",95,"CanESM5",245,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"96",96,"CanESM5",245,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"97",97,"CanESM5",370,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"98",98,"CanESM5",370,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"99",99,"CanESM5",370,"WB","LandR",3,FALSE,FALSE,TRUE,TRUE
"100",100,"CanESM5",370,"WB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"101",101,"CanESM5",370,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"102",102,"CanESM5",370,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"103",103,"CNRM-ESM2-1",245,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"104",104,"CNRM-ESM2-1",245,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"105",105,"CNRM-ESM2-1",245,"WB","LandR",3,FALSE,FALSE,NA,NA
"106",106,"CNRM-ESM2-1",245,"WB","LandR.CS",3,FALSE,FALSE,NA,NA
"107",107,"CNRM-ESM2-1",245,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"108",108,"CNRM-ESM2-1",245,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"109",109,"CNRM-ESM2-1",370,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"110",110,"CNRM-ESM2-1",370,"SB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"111",111,"CNRM-ESM2-1",370,"WB","LandR",3,FALSE,FALSE,NA,NA
"112",112,"CNRM-ESM2-1",370,"WB","LandR.CS",3,FALSE,FALSE,NA,NA
"113",113,"CNRM-ESM2-1",370,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
"114",114,"CNRM-ESM2-1",370,"WCB","LandR.CS",3,FALSE,FALSE,TRUE,TRUE
"115",115,"historical",NA,"SB","LandR",3,FALSE,FALSE,TRUE,TRUE
"116",116,"historical",NA,"WB","LandR",3,FALSE,FALSE,NA,NA
"117",117,"historical",NA,"WCB","LandR",3,FALSE,FALSE,TRUE,TRUE
